# Retraités de droit direct, par caisse, France
# source_id: drees_eacr
# unite: personnes
# fiabilite:
#   certifiee (2004-2024) : effectifs de l'enquête annuelle auprès des
#             caisses de retraite, feuille A-Cadrage du classeur diffusé
#             par la DREES, recontrôlés par scripts/verifier_donnees.py.
#
# UNE CAISSE PEUT MANQUER UNE ANNÉE, ET CE N'EST PAS UN OUBLI
# ------------------------------------------------------------
# La DREES ne publie pas toutes les caisses toutes les années : la
# coordination RATP paraît en 2020, 2021, 2023 et 2024, et pas en
# 2022. Le dépôt reconduit alors la dernière valeur connue, comme il
# le fait partout ; mais la série se charge en `ponctuelle` et non en
# escalier, si bien que l'année reconduite tombe au niveau `estimee`.
# Une enquête n'est pas un barème : l'année absente d'un barème n'a
# pas changé, celle d'une enquête n'a pas été MESURÉE, et la dire
# certifiée prêterait au producteur un chiffre qu'il n'a pas publié.
# Le niveau `certifiee` annoncé ci-dessus vaut donc pour les années
# ÉCRITES, et pour elles seules.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# À PONDÉRER les cas types de la page « Coût ». Ils ont d'abord pesé
# d'un poids égal, faute de source : l'agent de conduite comptait
# autant que le salarié au salaire moyen, alors qu'il y a cent fois
# moins de retraités à la SNCF qu'à la Cnav. Ces effectifs disent le
# rapport, et la page le porte désormais.
#
# LA CAISSE EST DÉSIGNÉE PAR SON CODE
# ------------------------------------
# La DREES rebaptise ses caisses sans changer leur code — « SSI
# complémentaire » est devenue « RCI complémentaire » —, et elle en
# renumérote : la Cnav porte le code 0010 jusqu'en 2019 puis 0015,
# sur un champ légèrement plus large. Le code est donc conservé tel
# quel, la colonne `caisse` porte le libellé de la dernière campagne,
# et le raccord des deux codes d'une même caisse est une décision du
# modèle, écrite dans donnees/effectifs.py.
#
# CE QU'UN EFFECTIF DE CAISSE N'EST PAS
# --------------------------------------
# Ce n'est pas un effectif de personnes : un polypensionné compte dans
# chacune de ses caisses, et la somme des caisses dépasse d'un tiers le
# « Tous régimes » (code 0000) qui, lui, compte les personnes. C'est la
# raison pour laquelle les poids des cas types sont RELATIFS et que
# docs/limites.md §5 bis dit le sens du biais qui reste.
#
# Ne pas modifier les années certifiées à la main : elles seraient écrasées
# au prochain scripts/verifier_donnees.py --appliquer.
annee,caisse,effectifs,fiabilite
2015,msa_salaries,1927273,certifiee
2015,ratp,33323,certifiee
2015,rci_complementaire,937963,certifiee
2015,sncf,176232,certifiee
2015,tous_regimes,15980438,certifiee
2016,banque_de_france,13521,certifiee
2016,cnav,13249763,certifiee
2016,cnieg,132976,certifiee
2016,cnracl,1047985,certifiee
2016,crpcen,63449,certifiee
2016,erafp,86249,certifiee
2016,fonction_publique_etat_civile,1525385,certifiee
2016,fonction_publique_etat_militaire,368668,certifiee
2016,fspoeie,66098,certifiee
2016,ircantec,1746503,certifiee
2016,msa_exploitants,1335716,certifiee
2016,msa_exploitants_complementaire,679834,certifiee
2016,msa_salaries,1936311,certifiee
2016,ratp,34069,certifiee
2016,rci_complementaire,965884,certifiee
2016,sncf,176657,certifiee
2016,tous_regimes,16135181,certifiee
2017,banque_de_france,13788,certifiee
2017,cnav,13411597,certifiee
2017,cnieg,135445,certifiee
2017,cnracl,1093450,certifiee
2017,crpcen,64076,certifiee
2017,erafp,122141,certifiee
2017,fonction_publique_etat_civile,1548624,certifiee
2017,fonction_publique_etat_militaire,369396,certifiee
2017,fspoeie,65426,certifiee
2017,ircantec,1783362,certifiee
2017,msa_exploitants,1294712,certifiee
2017,msa_exploitants_complementaire,659667,certifiee
2017,msa_salaries,1932001,certifiee
2017,ratp,34858,certifiee
2017,rci_complementaire,993530,certifiee
2017,sncf,176842,certifiee
2017,tous_regimes,16252194,certifiee
2018,agirc_arrco,11657834,certifiee
2018,banque_de_france,14028,certifiee
2018,cnav,13618264,certifiee
2018,cnieg,136191,certifiee
2018,cnracl,1139150,certifiee
2018,crpcen,65166,certifiee
2018,erafp,169639,certifiee
2018,fonction_publique_etat_civile,1568608,certifiee
2018,fonction_publique_etat_militaire,370122,certifiee
2018,fspoeie,65372,certifiee
2018,ircantec,1822375,certifiee
2018,msa_exploitants,1254774,certifiee
2018,msa_exploitants_complementaire,656885,certifiee
2018,msa_salaries,1902449,certifiee
2018,ratp,34930,certifiee
2018,rci_complementaire,1027366,certifiee
2018,sncf,175225,certifiee
2018,tous_regimes,16495664,certifiee
2019,agirc_arrco,11846773,certifiee
2019,banque_de_france,14443,certifiee
2019,canssm,120139,certifiee
2019,cnav,13964589,certifiee
2019,cnieg,136512,certifiee
2019,cnracl,1183474,certifiee
2019,crpcen,66337,certifiee
2019,erafp,226833,certifiee
2019,fonction_publique_etat_civile,1586734,certifiee
2019,fonction_publique_etat_militaire,371335,certifiee
2019,fspoeie,66616,certifiee
2019,ircantec,1864714,certifiee
2019,msa_exploitants,1214184,certifiee
2019,msa_exploitants_complementaire,646298,certifiee
2019,msa_salaries,1866723,certifiee
2019,ratp,34994,certifiee
2019,rci_complementaire,1061171,certifiee
2019,sncf,173299,certifiee
2019,tous_regimes,16712078,certifiee
2020,agirc_arrco,12014509,certifiee
2020,banque_de_france,14566,certifiee
2020,canssm,112628,certifiee
2020,cnav,14052675,certifiee
2020,cnavpl,361850,certifiee
2020,cnavpl_complementaire,329464,certifiee
2020,cnbf,14347,certifiee
2020,cnbf_complementaire,13468,certifiee
2020,cnieg,136867,certifiee
2020,cnracl,1224515,certifiee
2020,crpcen,67150,certifiee
2020,enim,65575,certifiee
2020,erafp,291858,certifiee
2020,fonction_publique_etat_civile,1599634,certifiee
2020,fonction_publique_etat_militaire,371173,certifiee
2020,fspoeie,66055,certifiee
2020,ircantec,1922198,certifiee
2020,msa_exploitants,1169286,certifiee
2020,msa_exploitants_complementaire,631012,certifiee
2020,msa_salaries,1819186,certifiee
2020,ratp,35051,certifiee
2020,ratp_coordination,3686,certifiee
2020,rci_complementaire,1080777,certifiee
2020,sncf,169918,certifiee
2020,sncf_coordination,28394,certifiee
2020,tous_regimes,16674470,certifiee
2021,agirc_arrco,12192390,certifiee
2021,banque_de_france,14350,certifiee
2021,canssm,104258,certifiee
2021,cnav,14208620,certifiee
2021,cnavpl,385252,certifiee
2021,cnavpl_complementaire,348270,certifiee
2021,cnbf,14672,certifiee
2021,cnbf_complementaire,13857,certifiee
2021,cnieg,136955,certifiee
2021,cnracl,1266266,certifiee
2021,crpcen,68190,certifiee
2021,enim,64515,certifiee
2021,erafp,368221,certifiee
2021,fonction_publique_etat_civile,1614918,certifiee
2021,fonction_publique_etat_militaire,371880,certifiee
2021,fspoeie,65378,certifiee
2021,ircantec,1965802,certifiee
2021,msa_exploitants,1127476,certifiee
2021,msa_exploitants_complementaire,625235,certifiee
2021,msa_salaries,1774980,certifiee
2021,ratp,35076,certifiee
2021,ratp_coordination,3672,certifiee
2021,rci_complementaire,1104093,certifiee
2021,sncf,167076,certifiee
2021,sncf_coordination,28273,certifiee
2021,tous_regimes,16801214,certifiee
2022,agirc_arrco,12397929,certifiee
2022,banque_de_france,14660,certifiee
2022,canssm,97378,certifiee
2022,cnav,14389241,certifiee
2022,cnavpl,407207,certifiee
2022,cnavpl_complementaire,365856,certifiee
2022,cnbf,15075,certifiee
2022,cnbf_complementaire,14263,certifiee
2022,cnieg,136937,certifiee
2022,cnracl,1313955,certifiee
2022,crpcen,68763,certifiee
2022,enim,63523,certifiee
2022,erafp,453611,certifiee
2022,fonction_publique_etat_civile,1627547,certifiee
2022,fonction_publique_etat_militaire,373373,certifiee
2022,fspoeie,64439,certifiee
2022,ircantec,2012114,certifiee
2022,msa_exploitants,1088256,certifiee
2022,msa_exploitants_complementaire,615748,certifiee
2022,msa_salaries,1741356,certifiee
2022,ratp,35053,certifiee
2022,rci_complementaire,1130022,certifiee
2022,sncf,163935,certifiee
2022,sncf_coordination,28250,certifiee
2022,tous_regimes,16974753,certifiee
2023,agirc_arrco,12620411,certifiee
2023,banque_de_france,14666,certifiee
2023,canssm,91636,certifiee
2023,cavimac,30623,certifiee
2023,cnav,14594635,certifiee
2023,cnavpl,431556,certifiee
2023,cnavpl_complementaire,423254,certifiee
2023,cnbf,15850,certifiee
2023,cnbf_complementaire,15004,certifiee
2023,cnieg,136931,certifiee
2023,cnracl,1359527,certifiee
2023,crpcen,69714,certifiee
2023,enim,63254,certifiee
2023,erafp,529231,certifiee
2023,fonction_publique_etat_civile,1638448,certifiee
2023,fonction_publique_etat_militaire,375817,certifiee
2023,fspoeie,63501,certifiee
2023,ircantec,2066393,certifiee
2023,msa_exploitants,1054877,certifiee
2023,msa_exploitants_complementaire,605977,certifiee
2023,msa_salaries,1710632,certifiee
2023,ratp,35275,certifiee
2023,ratp_coordination,3724,certifiee
2023,rci_complementaire,1171553,certifiee
2023,sncf,160793,certifiee
2023,sncf_coordination,28428,certifiee
2023,tous_regimes,17184263,certifiee
2024,agirc_arrco,12795748,certifiee
2024,banque_de_france,14769,certifiee
2024,canssm,86133,certifiee
2024,cavimac,28968,certifiee
2024,cnav,14744736,certifiee
2024,cnavpl,460991,certifiee
2024,cnavpl_complementaire,424386,certifiee
2024,cnbf,16590,certifiee
2024,cnbf_complementaire,15731,certifiee
2024,cnieg,136781,certifiee
2024,cnracl,1393246,certifiee
2024,crpcen,70377,certifiee
2024,enim,62598,certifiee
2024,erafp,603362,certifiee
2024,fonction_publique_etat_civile,1641380,certifiee
2024,fonction_publique_etat_militaire,376810,certifiee
2024,fspoeie,62155,certifiee
2024,ircantec,2108941,certifiee
2024,msa_exploitants,1023064,certifiee
2024,msa_exploitants_complementaire,616621,certifiee
2024,msa_salaries,1678770,certifiee
2024,ratp,35429,certifiee
2024,ratp_coordination,3777,certifiee
2024,rci_complementaire,1202469,certifiee
2024,sncf,157708,certifiee
2024,sncf_coordination,28402,certifiee
2024,tous_regimes,17298245,certifiee
