# Ce que les projets annuels de performances du PLF 2026 disent des
# régimes que l'État finance : effectifs, âges, durées, subventions
# source_id: db_pap_regimes_sociaux, db_cas_pensions
# unite: colonne `poste` — `_meur` en millions d'euros, `_mdeur` en
#        milliards, `_eur` en euros par an (par mois pour la pension des
#        nouveaux sédentaires), les âges et durées en années décimales
#        (« 55 ans et 8 mois » s'écrit 55.67), les trimestres et années
#        de flux en moyenne par nouveau pensionné, les ratios en fraction
# fiabilite:
#   moyenne  (exécution)  : valeurs SAISIES à la lecture des PAP, apportés par
#             l'utilisateur ; aucun script ne les revérifie, budget.gouv.fr
#             refusant les adresses de sortie du proxy. Le producteur est la
#             caisse (CPR PF, CRP RATP, ENIM, CANSSM…), le PAP la transcrit :
#             une transcription tierce saisie à la main ne monte pas plus haut.
#   estimee  (prévision, loi de finances) : ce que le PLF 2026 prévoit ou
#             inscrit, pas ce qui a été constaté.
#
# À QUOI CETTE SÉRIE SERT
# ------------------------
# 1. Aux BONIFICATIONS des régimes spéciaux (action 37) : la SNCF publie les
#    années validées ET cotisées du flux de nouveaux pensionnés, la RATP les
#    trimestres validés ET cotisés. L'écart est ce que le régime ajoute à ce
#    qui a été cotisé — 43 trimestres à la RATP en 2023, dix-sept fois moins
#    à la SNCF, dont les bonifications sont dans les années validées.
# 2. Au TAUX D'ÉQUILIBRE des régimes subventionnés (action 2) : la
#    subvention rapportée aux pensions servies — 60 % à la SNCF, 62 % à la
#    RATP en 2023 — est ce que `contribution_employeur_public.csv` laisse
#    dehors par convention, et `docs/limites.md` le dit.
# 3. Aux COTISANTS (action 35) : un point par régime, pas une série, et le
#    ratio démographique 2012-2023 de la SNCF et de la RATP.
#
# CE QU'IL FAUT SAVOIR AVANT DE S'EN SERVIR
# ------------------------------------------
# - `nature` dit si la valeur est constatée (`execution`), prévue par le
#   producteur (`prevision`) ou inscrite au projet de loi de finances
#   (`loi_de_finances`). Les crédits 2026 sont, depuis 2025, une COMPENSATION
#   versée à la CNAV — équilibreur en dernier ressort des régimes fermés
#   (3° de l'article L. 134-3 CSS) —, nette de la compensation démographique
#   et des cotisations perçues par le régime général et l'Agirc-Arrco au
#   titre de la fermeture ; ils ne sont donc PAS comparables à la subvention
#   d'avant 2025, qui allait au régime.
# - `programme` et `page` désignent le PAP (195, 197, 198 ou 741) et sa page
#   IMPRIMÉE, pour qu'un lecteur retrouve chaque valeur.
# - Les effectifs de cotisants ne sont pas ceux de la compensation ni ceux
#   de la fiche 4.1 de la CCSS (voir l'action 35 de la feuille de route) :
#   chaque caisse compte sur son champ et à sa date.
# - Les âges de départ sont ceux des pensionnés de droit direct de l'année ;
#   la SNCF les donne par catégorie, la RATP en un seul chiffre.
annee,regime,poste,valeur,nature,fiabilite,programme,page
2026,fonction_publique_etat,depenses_pensions_civiles_meur,53756,prevision,estimee,741,19
2027,fonction_publique_etat,depenses_pensions_civiles_meur,54016,prevision,estimee,741,19
2028,fonction_publique_etat,depenses_pensions_civiles_meur,54454,prevision,estimee,741,19
2024,fonction_publique_etat,depenses_pensions_militaires_meur,10905,execution,moyenne,741,21
2025,fonction_publique_etat,depenses_pensions_militaires_meur,11124,prevision,estimee,741,21
2026,fonction_publique_etat,depenses_pensions_militaires_meur,11097,prevision,estimee,741,21
2027,fonction_publique_etat,depenses_pensions_militaires_meur,11156,prevision,estimee,741,21
2028,fonction_publique_etat,depenses_pensions_militaires_meur,11286,prevision,estimee,741,21
2024,fonction_publique_etat,duree_retraite_civils_femmes,27.37,execution,moyenne,741,5
2024,fonction_publique_etat,duree_retraite_civils_hommes,23.45,execution,moyenne,741,5
2024,fonction_publique_etat,engagements_actualises_mdeur,1573,execution,estimee,741,5
2024,fonction_publique_etat,esperance_vie_65_civils_femmes,24.68,execution,moyenne,741,5
2024,fonction_publique_etat,esperance_vie_65_civils_hommes,21.16,execution,moyenne,741,5
2024,fonction_publique_etat,nouvelles_pensions_civiles_droit_direct,46932,execution,moyenne,741,4
2025,fonction_publique_etat,nouvelles_pensions_civiles_droit_direct,45990,prevision,estimee,741,18
2026,fonction_publique_etat,nouvelles_pensions_civiles_droit_direct,44575,prevision,estimee,741,18
2027,fonction_publique_etat,nouvelles_pensions_civiles_droit_direct,43235,prevision,estimee,741,18
2028,fonction_publique_etat,nouvelles_pensions_civiles_droit_direct,44030,prevision,estimee,741,18
2025,fonction_publique_etat,nouvelles_pensions_militaires_droit_direct,11397,prevision,estimee,741,21
2026,fonction_publique_etat,nouvelles_pensions_militaires_droit_direct,10920,prevision,estimee,741,21
2027,fonction_publique_etat,nouvelles_pensions_militaires_droit_direct,10495,prevision,estimee,741,21
2028,fonction_publique_etat,nouvelles_pensions_militaires_droit_direct,10725,prevision,estimee,741,21
2023,fonction_publique_etat,pension_mensuelle_nouveaux_sedentaires_eur,2478,execution,moyenne,741,4
2024,fonction_publique_etat,pension_mensuelle_nouveaux_sedentaires_eur,2529,execution,moyenne,741,4
2024,fonction_publique_etat,ressortissants,4343000,execution,moyenne,741,7
2024,fonction_publique_etat,retraite_progressive_meur,30.02,execution,moyenne,741,20
2025,fonction_publique_etat,retraite_progressive_meur,100,prevision,estimee,741,20
2026,fonction_publique_etat,retraite_progressive_meur,230,prevision,estimee,741,20
2022,gerants_debits_tabac,cotisants,25078,execution,moyenne,195,18
2026,gerants_debits_tabac,credits_etat_meur,71.4,loi_de_finances,estimee,195,19
2024,gerants_debits_tabac,fiscalite_affectee_meur,70,execution,moyenne,195,19
2022,gerants_debits_tabac,pensionnes,37696,execution,moyenne,195,18
2022,gerants_debits_tabac,ratio_demographique,0.67,execution,moyenne,195,18
2024,opera_de_paris,cotisants,1879,execution,moyenne,195,17
2022,opera_de_paris,cotisations_recues_meur,13.83,execution,moyenne,195,17
2023,opera_de_paris,cotisations_recues_meur,14.26,execution,moyenne,195,17
2026,opera_de_paris,credits_etat_meur,23.9,loi_de_finances,estimee,195,17
2024,opera_de_paris,pensionnes,1915,execution,moyenne,195,17
2024,opera_de_paris,ratio_demographique,0.98,execution,moyenne,195,17
2023,opera_de_paris,subvention_meur,18.53,execution,moyenne,195,17
2012,ratp,age_moyen_depart_ensemble,54.46,execution,moyenne,198,15
2013,ratp,age_moyen_depart_ensemble,55.25,execution,moyenne,198,15
2014,ratp,age_moyen_depart_ensemble,54.7,execution,moyenne,198,15
2015,ratp,age_moyen_depart_ensemble,54.8,execution,moyenne,198,15
2016,ratp,age_moyen_depart_ensemble,55.11,execution,moyenne,198,15
2017,ratp,age_moyen_depart_ensemble,55.46,execution,moyenne,198,15
2018,ratp,age_moyen_depart_ensemble,55.86,execution,moyenne,198,15
2019,ratp,age_moyen_depart_ensemble,56.11,execution,moyenne,198,15
2020,ratp,age_moyen_depart_ensemble,56.46,execution,moyenne,198,15
2021,ratp,age_moyen_depart_ensemble,56.81,execution,moyenne,198,15
2022,ratp,age_moyen_depart_ensemble,56.99,execution,moyenne,198,15
2023,ratp,age_moyen_depart_ensemble,57.6,execution,moyenne,198,15
2023,ratp,cotisants,39956,execution,moyenne,198,15
2012,ratp,cotisations_recues_meur,440,execution,moyenne,198,16
2013,ratp,cotisations_recues_meur,442,execution,moyenne,198,16
2014,ratp,cotisations_recues_meur,459,execution,moyenne,198,16
2015,ratp,cotisations_recues_meur,469,execution,moyenne,198,16
2016,ratp,cotisations_recues_meur,478,execution,moyenne,198,16
2017,ratp,cotisations_recues_meur,479,execution,moyenne,198,16
2018,ratp,cotisations_recues_meur,467,execution,moyenne,198,16
2019,ratp,cotisations_recues_meur,499,execution,moyenne,198,16
2020,ratp,cotisations_recues_meur,475,execution,moyenne,198,16
2021,ratp,cotisations_recues_meur,489,execution,moyenne,198,16
2022,ratp,cotisations_recues_meur,495,execution,moyenne,198,16
2023,ratp,cotisations_recues_meur,526,execution,moyenne,198,16
2026,ratp,credits_etat_meur,885.6,loi_de_finances,estimee,198,15
2023,ratp,pensionnes,46109,execution,moyenne,198,15
2012,ratp,pensions_servies_meur,992,execution,moyenne,198,16
2013,ratp,pensions_servies_meur,1028,execution,moyenne,198,16
2014,ratp,pensions_servies_meur,1043,execution,moyenne,198,16
2015,ratp,pensions_servies_meur,1059,execution,moyenne,198,16
2016,ratp,pensions_servies_meur,1088,execution,moyenne,198,16
2017,ratp,pensions_servies_meur,1125,execution,moyenne,198,16
2018,ratp,pensions_servies_meur,1153,execution,moyenne,198,16
2019,ratp,pensions_servies_meur,1169,execution,moyenne,198,16
2020,ratp,pensions_servies_meur,1185,execution,moyenne,198,16
2021,ratp,pensions_servies_meur,1199,execution,moyenne,198,16
2022,ratp,pensions_servies_meur,1246,execution,moyenne,198,16
2023,ratp,pensions_servies_meur,1297,execution,moyenne,198,16
2012,ratp,ratio_demographique,0.89,execution,moyenne,198,15
2013,ratp,ratio_demographique,0.89,execution,moyenne,198,15
2014,ratp,ratio_demographique,0.88,execution,moyenne,198,15
2015,ratp,ratio_demographique,0.88,execution,moyenne,198,15
2016,ratp,ratio_demographique,0.86,execution,moyenne,198,15
2017,ratp,ratio_demographique,0.85,execution,moyenne,198,15
2018,ratp,ratio_demographique,0.84,execution,moyenne,198,15
2019,ratp,ratio_demographique,0.84,execution,moyenne,198,15
2020,ratp,ratio_demographique,0.85,execution,moyenne,198,15
2021,ratp,ratio_demographique,0.85,execution,moyenne,198,15
2022,ratp,ratio_demographique,0.85,execution,moyenne,198,15
2023,ratp,ratio_demographique,0.86,execution,moyenne,198,15
2012,ratp,subvention_meur,575,execution,moyenne,198,16
2013,ratp,subvention_meur,611,execution,moyenne,198,16
2014,ratp,subvention_meur,619,execution,moyenne,198,16
2015,ratp,subvention_meur,618,execution,moyenne,198,16
2016,ratp,subvention_meur,637,execution,moyenne,198,16
2017,ratp,subvention_meur,681,execution,moyenne,198,16
2018,ratp,subvention_meur,712,execution,moyenne,198,16
2019,ratp,subvention_meur,680,execution,moyenne,198,16
2020,ratp,subvention_meur,732,execution,moyenne,198,16
2021,ratp,subvention_meur,737,execution,moyenne,198,16
2022,ratp,subvention_meur,777,execution,moyenne,198,16
2023,ratp,subvention_meur,810,execution,moyenne,198,16
2012,ratp,trimestres_cotises_flux,119.32,execution,moyenne,198,16
2013,ratp,trimestres_cotises_flux,121.11,execution,moyenne,198,16
2014,ratp,trimestres_cotises_flux,120.73,execution,moyenne,198,16
2015,ratp,trimestres_cotises_flux,122.19,execution,moyenne,198,16
2016,ratp,trimestres_cotises_flux,121.25,execution,moyenne,198,16
2017,ratp,trimestres_cotises_flux,122.91,execution,moyenne,198,16
2018,ratp,trimestres_cotises_flux,123.79,execution,moyenne,198,16
2019,ratp,trimestres_cotises_flux,124.37,execution,moyenne,198,16
2020,ratp,trimestres_cotises_flux,125.6,execution,moyenne,198,16
2021,ratp,trimestres_cotises_flux,125.8,execution,moyenne,198,16
2022,ratp,trimestres_cotises_flux,127.4,execution,moyenne,198,16
2023,ratp,trimestres_cotises_flux,125.2,execution,moyenne,198,16
2012,ratp,trimestres_valides_flux,157.68,execution,moyenne,198,16
2013,ratp,trimestres_valides_flux,158.79,execution,moyenne,198,16
2014,ratp,trimestres_valides_flux,158.98,execution,moyenne,198,16
2015,ratp,trimestres_valides_flux,160.32,execution,moyenne,198,16
2016,ratp,trimestres_valides_flux,162.52,execution,moyenne,198,16
2017,ratp,trimestres_valides_flux,163.6,execution,moyenne,198,16
2018,ratp,trimestres_valides_flux,165.02,execution,moyenne,198,16
2019,ratp,trimestres_valides_flux,165.27,execution,moyenne,198,16
2020,ratp,trimestres_valides_flux,167.1,execution,moyenne,198,16
2021,ratp,trimestres_valides_flux,168.3,execution,moyenne,198,16
2022,ratp,trimestres_valides_flux,168.9,execution,moyenne,198,16
2023,ratp,trimestres_valides_flux,168.5,execution,moyenne,198,16
2025,seita,besoin_de_financement_meur,128,prevision,estimee,195,15
2024,seita,cotisants,0,execution,moyenne,195,15
2026,seita,credits_etat_meur,128.4,loi_de_finances,estimee,195,15
2024,seita,engagements_actualises_mdeur,1.5,execution,estimee,195,15
2024,seita,pensionnes,6131,execution,moyenne,195,15
2012,sncf,age_moyen_depart_autres_agents,56.17,execution,moyenne,198,13
2013,sncf,age_moyen_depart_autres_agents,56.5,execution,moyenne,198,13
2014,sncf,age_moyen_depart_autres_agents,56.83,execution,moyenne,198,13
2015,sncf,age_moyen_depart_autres_agents,57.08,execution,moyenne,198,13
2016,sncf,age_moyen_depart_autres_agents,57.5,execution,moyenne,198,13
2017,sncf,age_moyen_depart_autres_agents,57.83,execution,moyenne,198,13
2018,sncf,age_moyen_depart_autres_agents,58.17,execution,moyenne,198,13
2019,sncf,age_moyen_depart_autres_agents,58.5,execution,moyenne,198,13
2020,sncf,age_moyen_depart_autres_agents,59.0,execution,moyenne,198,13
2021,sncf,age_moyen_depart_autres_agents,59.42,execution,moyenne,198,13
2022,sncf,age_moyen_depart_autres_agents,59.75,execution,moyenne,198,13
2023,sncf,age_moyen_depart_autres_agents,60.0,execution,moyenne,198,13
2012,sncf,age_moyen_depart_conducteurs,51.33,execution,moyenne,198,13
2013,sncf,age_moyen_depart_conducteurs,51.92,execution,moyenne,198,13
2014,sncf,age_moyen_depart_conducteurs,52.58,execution,moyenne,198,13
2015,sncf,age_moyen_depart_conducteurs,53.0,execution,moyenne,198,13
2016,sncf,age_moyen_depart_conducteurs,53.42,execution,moyenne,198,13
2017,sncf,age_moyen_depart_conducteurs,53.25,execution,moyenne,198,13
2018,sncf,age_moyen_depart_conducteurs,53.58,execution,moyenne,198,13
2019,sncf,age_moyen_depart_conducteurs,53.58,execution,moyenne,198,13
2020,sncf,age_moyen_depart_conducteurs,54.08,execution,moyenne,198,13
2021,sncf,age_moyen_depart_conducteurs,54.33,execution,moyenne,198,13
2022,sncf,age_moyen_depart_conducteurs,54.83,execution,moyenne,198,13
2023,sncf,age_moyen_depart_conducteurs,55.17,execution,moyenne,198,13
2012,sncf,age_moyen_depart_ensemble,55.67,execution,moyenne,198,13
2013,sncf,age_moyen_depart_ensemble,56.08,execution,moyenne,198,13
2014,sncf,age_moyen_depart_ensemble,56.5,execution,moyenne,198,13
2015,sncf,age_moyen_depart_ensemble,56.75,execution,moyenne,198,13
2016,sncf,age_moyen_depart_ensemble,57.25,execution,moyenne,198,13
2017,sncf,age_moyen_depart_ensemble,57.42,execution,moyenne,198,13
2018,sncf,age_moyen_depart_ensemble,57.75,execution,moyenne,198,13
2019,sncf,age_moyen_depart_ensemble,58.0,execution,moyenne,198,13
2020,sncf,age_moyen_depart_ensemble,58.5,execution,moyenne,198,13
2021,sncf,age_moyen_depart_ensemble,58.83,execution,moyenne,198,13
2022,sncf,age_moyen_depart_ensemble,59.17,execution,moyenne,198,13
2023,sncf,age_moyen_depart_ensemble,59.42,execution,moyenne,198,13
2012,sncf,annees_cotisees_flux,34.7,execution,moyenne,198,14
2013,sncf,annees_cotisees_flux,34.95,execution,moyenne,198,14
2014,sncf,annees_cotisees_flux,35.5,execution,moyenne,198,14
2015,sncf,annees_cotisees_flux,35.7,execution,moyenne,198,14
2016,sncf,annees_cotisees_flux,35.95,execution,moyenne,198,14
2017,sncf,annees_cotisees_flux,36.45,execution,moyenne,198,14
2018,sncf,annees_cotisees_flux,36.8,execution,moyenne,198,14
2019,sncf,annees_cotisees_flux,37.1,execution,moyenne,198,14
2020,sncf,annees_cotisees_flux,37.35,execution,moyenne,198,14
2021,sncf,annees_cotisees_flux,37.65,execution,moyenne,198,14
2022,sncf,annees_cotisees_flux,37.84,execution,moyenne,198,14
2023,sncf,annees_cotisees_flux,37.66,execution,moyenne,198,14
2012,sncf,annees_validees_flux,35.25,execution,moyenne,198,14
2013,sncf,annees_validees_flux,35.5,execution,moyenne,198,14
2014,sncf,annees_validees_flux,35.95,execution,moyenne,198,14
2015,sncf,annees_validees_flux,36.15,execution,moyenne,198,14
2016,sncf,annees_validees_flux,36.45,execution,moyenne,198,14
2017,sncf,annees_validees_flux,37.25,execution,moyenne,198,14
2018,sncf,annees_validees_flux,37.5,execution,moyenne,198,14
2019,sncf,annees_validees_flux,37.5,execution,moyenne,198,14
2020,sncf,annees_validees_flux,37.75,execution,moyenne,198,14
2021,sncf,annees_validees_flux,38.05,execution,moyenne,198,14
2022,sncf,annees_validees_flux,38.27,execution,moyenne,198,14
2023,sncf,annees_validees_flux,38.05,execution,moyenne,198,14
2023,sncf,cotisants,110846,execution,moyenne,198,13
2026,sncf,credits_etat_meur,3225.8,loi_de_finances,estimee,198,13
2012,sncf,duree_activite_stock,32.52,execution,moyenne,198,14
2013,sncf,duree_activite_stock,32.53,execution,moyenne,198,14
2014,sncf,duree_activite_stock,32.63,execution,moyenne,198,14
2015,sncf,duree_activite_stock,32.58,execution,moyenne,198,14
2016,sncf,duree_activite_stock,32.7,execution,moyenne,198,14
2017,sncf,duree_activite_stock,32.69,execution,moyenne,198,14
2018,sncf,duree_activite_stock,32.67,execution,moyenne,198,14
2019,sncf,duree_activite_stock,32.75,execution,moyenne,198,14
2020,sncf,duree_activite_stock,32.85,execution,moyenne,198,14
2021,sncf,duree_activite_stock,32.75,execution,moyenne,198,14
2022,sncf,duree_activite_stock,32.87,execution,moyenne,198,14
2023,sncf,duree_activite_stock,32.97,execution,moyenne,198,14
2012,sncf,duree_service_pension_stock,28.17,execution,moyenne,198,14
2013,sncf,duree_service_pension_stock,28.23,execution,moyenne,198,14
2014,sncf,duree_service_pension_stock,28.37,execution,moyenne,198,14
2015,sncf,duree_service_pension_stock,28.7,execution,moyenne,198,14
2016,sncf,duree_service_pension_stock,28.76,execution,moyenne,198,14
2017,sncf,duree_service_pension_stock,28.95,execution,moyenne,198,14
2018,sncf,duree_service_pension_stock,29.04,execution,moyenne,198,14
2019,sncf,duree_service_pension_stock,28.93,execution,moyenne,198,14
2020,sncf,duree_service_pension_stock,29.03,execution,moyenne,198,14
2021,sncf,duree_service_pension_stock,28.77,execution,moyenne,198,14
2022,sncf,duree_service_pension_stock,29.06,execution,moyenne,198,14
2023,sncf,duree_service_pension_stock,29.0,execution,moyenne,198,14
2023,sncf,pensionnes,229329,execution,moyenne,198,13
2012,sncf,pensions_servies_meur,5268,execution,moyenne,198,14
2013,sncf,pensions_servies_meur,5317,execution,moyenne,198,14
2014,sncf,pensions_servies_meur,5313,execution,moyenne,198,14
2015,sncf,pensions_servies_meur,5289,execution,moyenne,198,14
2016,sncf,pensions_servies_meur,5266,execution,moyenne,198,14
2017,sncf,pensions_servies_meur,5308,execution,moyenne,198,14
2018,sncf,pensions_servies_meur,5327,execution,moyenne,198,14
2019,sncf,pensions_servies_meur,5308,execution,moyenne,198,14
2020,sncf,pensions_servies_meur,5272,execution,moyenne,198,14
2021,sncf,pensions_servies_meur,5218,execution,moyenne,198,14
2022,sncf,pensions_servies_meur,5310,execution,moyenne,198,14
2023,sncf,pensions_servies_meur,5385,execution,moyenne,198,14
2012,sncf,ratio_demographique,0.68,execution,moyenne,198,14
2013,sncf,ratio_demographique,0.68,execution,moyenne,198,14
2014,sncf,ratio_demographique,0.68,execution,moyenne,198,14
2015,sncf,ratio_demographique,0.67,execution,moyenne,198,14
2016,sncf,ratio_demographique,0.66,execution,moyenne,198,14
2017,sncf,ratio_demographique,0.65,execution,moyenne,198,14
2018,sncf,ratio_demographique,0.64,execution,moyenne,198,14
2019,sncf,ratio_demographique,0.63,execution,moyenne,198,14
2020,sncf,ratio_demographique,0.6,execution,moyenne,198,14
2021,sncf,ratio_demographique,0.58,execution,moyenne,198,14
2022,sncf,ratio_demographique,0.57,execution,moyenne,198,14
2023,sncf,ratio_demographique,0.57,execution,moyenne,198,14
2012,sncf,subvention_meur,3307,execution,moyenne,198,14
2013,sncf,subvention_meur,3334,execution,moyenne,198,14
2014,sncf,subvention_meur,3311,execution,moyenne,198,14
2015,sncf,subvention_meur,3281,execution,moyenne,198,14
2016,sncf,subvention_meur,3266,execution,moyenne,198,14
2017,sncf,subvention_meur,3271,execution,moyenne,198,14
2018,sncf,subvention_meur,3307,execution,moyenne,198,14
2019,sncf,subvention_meur,3219,execution,moyenne,198,14
2020,sncf,subvention_meur,3385,execution,moyenne,198,14
2021,sncf,subvention_meur,3252,execution,moyenne,198,14
2022,sncf,subvention_meur,3239,execution,moyenne,198,14
2023,sncf,subvention_meur,3245,execution,moyenne,198,14
